city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,square_footage,year_built,buildings,stories,zoning,lot_size_acres,dock_high_doors,ceiling_height,units,year_renovated,parking_spaces,tenancy,number_of_tenants,net_rentable_sqft,occupancy_percentage,broker_co_op,investment_type,lot_size_sqft,lease_type,lease_term_year,sale_condition,class,investment_sub_type,tenant_credit,brand_tenant,cap_rate_percentage,noi,rent_bumps,lease_options,ownership,price_acre_land_value,lease_commencement,lease_expiration,price_sqft,pro_forma_cap_rate_percentage,pro_forma_noi,air_rights_sqft,price_sqft_land_value,loading_docks,ground_lease,remaining_term_year
charlotte nc,,4420 rozzelles ferry rd.,"4420 Rozzelles Ferry Rd. Charlotte, NC 28208","Industrial • 13,000 SqFt",https://www.crexi.com/properties/2023480/north-carolina-4420-rozzelles-ferry-rd,,,5.0,industrial,warehouse,13000.0,1990,1.0,,,3.5,6.0,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,
charlotte nc,,steele creek commercial lot,"8612 Steele Creek Rd Charlotte, NC 28273",Land • 1.134 acres,https://www.crexi.com/properties/1720745/north-carolina-steele-creek-commercial-lot,,2025-05-28,54.0,land,commercial,,,,,CG,1.134,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,3107000.0,"7-eleven anchor strip | charlotte, nc","8641 South Blvd Charlotte, NC 28273",8.00% CAP • Top Performing 7-Eleven in the State,https://www.crexi.com/properties/1982968/north-carolina-7-eleven-anchor-strip-charlotte-nc,3107000.0,,27.0,retail,"gas station, shopping center, storefront",5441.0,2015,,,,0.98,,,,,,multi,2.0,5441.0,100.0,Yes,Net Lease,,NNN,,,A,NNN,"Franchisee, Corporate Guarantee","7-eleven, kure vapor",8.0,248599.0,10% x 5 Years,4 x 5 Years,Fee Simple,,,,,,,,,,,
charlotte nc,1500000.0,kirkley,"2925 Derita Av. Charlotte, NC 28269",Land • 3.03 acres,https://www.crexi.com/properties/1717864/north-carolina-kirkley,1500000.0,,248.0,"land, multifamily, office, retail, self storage",shopping center,,,2.0,,B-1,3.03,,,,,,,,,,,,,,,,,,,,,,,,Individual,500000.0,,,,,,,,,,
charlotte nc,,8345 west w.t.harris boulevard,"8345 W W.T.Harris Blvd Charlotte, NC 28216",Land • 1.735 acres,https://www.crexi.com/properties/1930292/north-carolina-8345-west-wtharris-boulevard,,2025-05-20,63.0,land,commercial,,,,,B2(CD),1.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,2604 n. brevard st & 401 charles ave,2 LOCATIONS,Retail,https://www.crexi.com/properties/1899881/north-carolina-2604-n-brevard-st-401-charles-ave,,,91.0,"retail, office","executive office, commercial",1440.5,,,,TOD-UC,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,610000.0,"10310 couloak dr, suit 400","10310 Couloak Dr Charlotte, NC 28216","Two-story, 2,978 SF office condo located just minutes from I-485 • Suite 400",https://www.crexi.com/properties/1334561/north-carolina-10310-couloak-dr-suit-400,610000.0,,598.0,"hospitality, mixed use, office, special purpose","creative office, medical office, traditional office",2978.0,2005,1.0,1.0,Office,,,9,2.0,2017.0,,multi,,2978.0,50.0,Yes,Value Add,,Modified,3.0,For sale by owner,B,50% vacant and 50% occupied,,,3.93,24000.0,,,,,2023-05-01,2026-05-01,204.84,8.52,52000.0,2978.0,,,,0.8
charlotte nc,,227-231 atando,"227 Atando Ave Charlotte, NC 28206",Land • 5.629 acres,https://www.crexi.com/properties/1731347/north-carolina-227-231-atando,,,223.0,land,"commercial, residential",,,,,IMU,5.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,urban core,"308 W Worthington Ave & 1825 Wickford Place Charlotte, NC 28203",Urban Core Property • +/- 0.341 AC • For Sale,https://www.crexi.com/properties/368902/north-carolina-urban-core,,2020-05-08,1900.0,"industrial, land, office, retail","warehouse, development site",4096.5,,,,TOD-NC & N1-D (HDO),.17 - .17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1950000.0,3.61 acres for sale,"9100 Mt Holly Rd Charlotte, NC 28214",Land • 3.61 acres,https://www.crexi.com/properties/1914698/north-carolina-361-acres-for-sale,1950000.0,,84.0,land,"commercial, residential",,,,,N1-B,3.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,305000.0,crown centre office building,"2101 Sardis Rd. N Charlotte, NC 28227",Rare opportunity for owner/operator to buy into this building which is fully occupied.,https://www.crexi.com/properties/2011615/north-carolina-crown-centre-office-building,305000.0,,11.0,office,"creative office, executive office",1200.0,1986,1.0,2.0,Office,,,,2.0,2023.0,,,,1200.0,98.0,,,,,,,B,,,,,,,,Owner/operator,,,,,,,,,,,
charlotte nc,1900000.0,tennyson dr lot 7102,"Tennyson Dr Charlotte, NC 28208",Land • 0.29 acres,https://www.crexi.com/properties/1706212/north-carolina-tennyson-dr-lot-7102,1900000.0,,256.0,land,residential,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1200000.0,"1.22 +/- ac, signalized corner","6797 N Tryon St Charlotte, NC 28213",Signalized Corner • 1.22 acres,https://www.crexi.com/properties/1819999/north-carolina-122---ac-signalized-corner,1200000.0,,140.0,land,commercial,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,399000.0,2928 n. graham street,"2928 N Graham St Charlotte, NC 28206","Industrial • 1,184 SF",https://www.crexi.com/properties/1899222/north-carolina-2928-n-graham-street,399000.0,,91.0,"industrial, land","distribution, manufacturing, warehouse",1184.0,,1.0,,ML-1 & N1-C,0.42,,,,,,,,,,,Redevelopment,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1568000.0,family dollar,"4130 Rozzelles Ferry Rd Charlotte, NC 28216","Retail • 7.75% CAP • 8,537 SqFt",https://www.crexi.com/properties/1901711/north-carolina-family-dollar,1568000.0,,89.0,retail,"grocery store, storefront",8537.0,2000,,,CG,0.95,,,,,36.0,single,,,100.0,,,,NN,,,,,Corporate Guarantee,family dollar,7.75,121503.0,10% rental increase,2 (5-year),Fee simple interest (land & building ownership),,,2030-06-30,,,,,,,,4.9
charlotte nc,1350000.0,metrolina park,"5326 Gibbon Rd Charlotte, NC 28269",Land • 2.49 acres,https://www.crexi.com/properties/1804831/north-carolina-metrolina-park,1350000.0,,153.0,land,industrial,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,4100000.0,4044 yancey road - loso land,"4044 Yancey Rd Charlotte, NC 28217","Land • 41,599 SF",https://www.crexi.com/properties/1515741/north-carolina-4044-yancey-road---loso-land,4100000.0,2024-05-18,429.0,land,commercial,,,,,TOD-TR,,,,,,,,,,,Yes,,"41,599",,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1385000.0,2506 beatties ford road,"2506 Beatties Ford Rd Charlotte, NC 28216",Land • 0.512 acres,https://www.crexi.com/properties/1888233/north-carolina-2506-beatties-ford-road,1385000.0,,105.0,land,commercial,,,,,TOD-NC,0.512,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,372824.0,the arbors professional center,"2315 W Arbors Dr Charlotte, NC 28262","Office • 1,055 SqFt",https://www.crexi.com/properties/1884322/north-carolina-the-arbors-professional-center,372824.0,,105.0,office,medical office,1055.0,,,,MUDD-O,,,,,2023.0,,,,,,Yes,,,,,,,,,,,,,,,,,,353.39,,,,,,,
charlotte nc,4500000.0,505 beatties ford rd,"505 Beatties Ford Rd Charlotte, NC 28216",0.84 acres at Beatties Ford Rd & French St directly on new Gold Line Trolley and in Opportunity Zone,https://www.crexi.com/properties/153110/north-carolina-505-beatties-ford-rd--in-opp-zone,4500000.0,,2474.0,"land, mixed use, retail","storefront, development site",,,,,NC,0.84,,,,,,,,,,Yes,Redevelopment,,,,,,,,,,,,,Fee Simple,,,,,,,,55.0,,,
charlotte nc,,2710 n. brevard st,"2710 N Brevard St Charlotte, NC 28205",Retail • 480 SF,https://www.crexi.com/properties/1305000/north-carolina-2710-n-brevard-st,,,626.0,retail,commercial,480.0,,,,"TOD-NC, with the exception of one parcel zoned O-1 CD",0.965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,221 s tryon st,"221 S Tryon St Charlotte, NC 28202",Iconic Retail Condo in Charlotte's Thriving Uptown,https://www.crexi.com/properties/1657381/north-carolina-221-s-tryon-st,,,325.0,"mixed use, office, retail","creative office, restaurant, storefront",4149.0,1920,1.0,3.0,UC,0.12,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,,,,,
charlotte nc,,i-485 & prosperity church road,"5300 Prosperity Church Rd Charlotte, NC 28269",Land • 1.98 acres,https://www.crexi.com/properties/1832412/north-carolina-i-485-prosperity-church-road,,,125.0,"land, retail",commercial,,,,,NS,1.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,11620714.0,adams auto group,"6027 N Tryon St Charlotte, NC 28213","Retail • 7.00% CAP • 12,000 SF",https://www.crexi.com/properties/1924620/north-carolina-adams-auto-group,11620714.0,2025-05-09,73.0,retail,auto shop,12000.0,2015,1.0,1.0,,10.38,,,1.0,,,single,,,100.0,,Net Lease,,NNN,15.0,,,Auto Dealership,Corporate Guarantee,,7.0,813450.0,,,Fee Simple,,2019-10-31,2034-11-01,,,,,,,,9.3
charlotte nc,900000.0,"1720 oakdale road charlotte, nc","1720 Oakdale Rd Charlotte, NC 28216",Office/Retail For Sale,https://www.crexi.com/properties/1746433/north-carolina-1720-oakdale-road-charlotte-nc,900000.0,,189.0,"office, retail","bank, traditional office",2473.0,1994,1.0,1.0,Office,1.94,,,,,,,,,,,Owner/User,,,,For sale by owner,,,,,,,,,,,,,,,,,,,,
charlotte nc,2175000.0,6304 n. tryon,"6304 N Tryon St Charlotte, NC 28213","Mixed Use • 9,433 SF",https://www.crexi.com/properties/1933890/north-carolina-6304-n-tryon,2175000.0,2025-05-21,61.0,"mixed use, multifamily, office, retail","apartment building, grocery store, qsr/fast food",9433.0,2010,,,TOD,1.208,,,,,,single,,,100.0,,Redevelopment,,Absolute NNN,,,B,,Corporate Guarantee,dollar general,6.37,138624.0,,,Private,,,2025-10-30,,,,,,,,
charlotte nc,,935 s summit,"935 S Summit Ave Charlotte, NC 28208",Multifamily,https://www.crexi.com/properties/1777952/north-carolina-935-s-summit-avenue,,,160.0,"multifamily, land",apartment building,,,,,"I-1, PED-O",1.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,35000000.0,innovation center,"6900 Morris Estate Drive Charlotte, NC 28262","Innovation Center: ±260,000 SF Manufacturing Facility",https://www.crexi.com/properties/1899423/north-carolina-innovation-center,35000000.0,,91.0,industrial,"distribution, manufacturing, warehouse",260000.0,1984,,,I-2 (CD),,16.0,,,2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,118 w 28th street,"118 W 28th St Charlotte, NC 28206","Land For Sale: Multifamily, Retail, Industrial",https://www.crexi.com/properties/1978549/north-carolina-118-w-28th-street,,,31.0,land,commercial,,,,,NC(CD) Neighborhood Commercial Conditional Development,0.562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,2900000.0,2528 lucena,"2528 Lucena St Charlotte, NC 28206","Industrial • 20,228 SF",https://www.crexi.com/properties/1915584/north-carolina-2528-lucena,2900000.0,,83.0,industrial,"flex, warehouse",20228.0,1958,,1.0,ML-2,0.815,,"16'6""",,,,vacant,,,,Yes,,,,,,B,,,,,,,,,,,,,,,,,1.0,,
charlotte nc,5500000.0,3726 latrobe drive,"3726 Latrobe Dr Charlotte, NC 28211","Office • 22,185 SqFt",https://www.crexi.com/properties/917381/north-carolina-3726-latrobe-drive,5500000.0,,1023.0,office,"traditional office, medical office",22185.0,1980,,1.0,ML-1 (Manufacturing & Logistics),3.13,,,,2015.0,,,,,,,Sale/Leaseback,,,,,B,,,,,336000.0,,,,,,,,,,,,,,
charlotte nc,,2224 coronation blvd,"2224 Coronation Blvd Charlotte, NC 28227",Land • 0.78 acres,https://www.crexi.com/properties/1925908/north-carolina-2224-coronation-blvd,,2025-05-12,70.0,land,commercial,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,westinghouse blvd acreage,"2310 Westinghouse Blvd Charlotte, NC 28273",Land • 4.08 acres • For Sale,https://www.crexi.com/properties/1777530/north-carolina-westinghouse-blvd-acreage,,,160.0,land,commercial,,,,,ML-1,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,s. summit avenue - office site infill land sale,"S Summit Ave Charlotte, NC 28208",office site land near uptown Charlotte in an opportunity zone,https://www.crexi.com/properties/1293116/north-carolina-s-summit-avenue---infill-land-sale,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,5100000.0,3101 & 3109 westinghouse blvd.,"3109 Westinghouse Blvd Charlotte, NC 28273","Single Tenant Industrial Investment • 16,540 SF",https://www.crexi.com/properties/1952837/north-carolina-3101-3109-westinghouse-blvd,5100000.0,,48.0,industrial,"flex, warehouse",16540.0,1988,2.0,1.0,ML-1,2.59,,,,,,single,,,,,Net Lease,,Absolute NNN,15.0,,C,,,,,,,,,,,2040-03-31,,,,,,,,
charlotte nc,,3623 latrobe drive,"3623 Latrobe Dr Charlotte, NC 28211",Office,https://www.crexi.com/properties/1043374/north-carolina-3623-latrobe-drive,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,plaza midwood retail,"1212 Pecan Avenue & 1801 Commonwealth Ave Charlotte, NC 28205","Retail • 15,000 SF",https://www.crexi.com/properties/232668/north-carolina-1212-pecan-avenue,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,3500000.0,"1518 bryant st, charlotte, nc","1518 Bryant St Charlotte, NC 28208",Available less than 1 mile from Uptown Charlotte and South End. Possible assemblage w/ adjacent land,https://www.crexi.com/properties/1557443/north-carolina-1518-bryant-st-charlotte-nc,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,loso development opportunity,3 LOCATIONS,+/- 1.291 AC • LoSo Development Opportunity,https://www.crexi.com/properties/1189729/north-carolina-401-bowman-rd-3910-s-tryon-st-3920-s-tryon-st,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,5463000.0,circle k,"5330 Statesville Rd Charlotte, NC 28269","Retail • 6.15% CAP • 5,200 SF",https://www.crexi.com/properties/1743581/north-carolina-circle-k,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,loso covered land play & development site,"4447 South Boulevard Charlotte, NC 28209","A +/- 2.66-Acre Flex/Industrial Redevelopment Opportunity in Charlotte, North Carolina",https://www.crexi.com/properties/2013722/north-carolina-loso-covered-land-play-development-site,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,3206 south tryon st,"3206 S Tryon St Charlotte, NC 28217",Development site is LOSO area Corner Lot Charlotte NC,https://www.crexi.com/properties/1928681/north-carolina-3206-south-tryon-st,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,1500000.0,0000 mallard creek road,"0000 Mallard Creek Rd Charlotte, NC 28262",Land • 1.5 acres,https://www.crexi.com/properties/1647511/north-carolina-mallard-creek,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,10301 feldfarm lane,"10301 Feldfarm Lane Pineville, NC 28210","Retail • 15,336 SF",https://www.crexi.com/properties/1899605/north-carolina-10301-feldfarm-lane,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,2175000.0,"steele creek charlotte, nc 1.66 ac on interchange i-485/160","4917 Trojan Dr Charlotte, NC 28278","Rough graded, utilities available, off-site detention in place",https://www.crexi.com/properties/1571320/north-carolina-steele-creek-charlotte-nc-166-ac-on-interchange-i-485160,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,sardis road & krefeld drive,"8715 Krefeld Dr Charlotte, NC 28227","Discover a prime commercial opportunity at 8715 Krefeld Drive, Charlotte, NC.",https://www.crexi.com/properties/1766988/north-carolina-sardis-road-krefeld-drive,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,799000.0,2039 lanier ave - oakhurst triplex,"2039 lanier ave Charlotte, NC 28205",Charming Triplex in Oakhurst – Rare Investment Opportunity!,https://www.crexi.com/properties/1921300/north-carolina-2039-lanier-ave---oakhurst-triplex,799000.0,2025-05-06,76.0,multifamily,apartment building,3080.0,1926,1.0,2.0,NB1,0.34,,,3.0,2021.0,5.0,,,,,,,,,,For sale by owner,,"Value-Add, Owner-User, or Both",,,0.0,,,,Agent-Owned,,,,,7.0,,,,,No,
charlotte nc,1650000.0,6709 n tryon st,"6709 N Tryon St Charlotte, NC 28213",FORMER BANK BRANCH FOR SALE • PRIME RETAIL LOCATION IN CHARLOTTE,https://www.crexi.com/properties/1337405/north-carolina-former-bank-branch,1650000.0,,594.0,retail,"bank, qsr/fast food, restaurant",3410.0,1989,1.0,1.0,B-2,0.76,,,,,,vacant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,,4000 north sharon amity road,"4000 N Sharon Amity Rd Charlotte, NC 28205",Land • 6.5 acres,https://www.crexi.com/properties/1079836/north-carolina-4000-north-sharon-amity-road,,,829.0,land,commercial,,,,,R-3,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte nc,750000.0,2215 west boulevard,"2215 West Blvd Charlotte, NC 28208",1200 Sf vacant free standing retail space on a busy corner with 2 lots for residential development.,https://www.crexi.com/properties/1826736/north-carolina-2215-west-boulevard,750000.0,,132.0,retail,"convenience store, grocery store, storefront",1200.0,1989/2023,,1.0,CG and N1C - General Commercial front half of the lot and back half of the lot is N1C,0.86,,,,,,vacant,,,,,Owner/User,,,,,B,Retail,,,,,,,Seller owned for at least one year,,,,625.0,,,,,,,
