city,price,name,address,description,link,asking_price,date_added,days_on_market,property_type,subtype,lot_size_acres,zoning,lease_type,tenancy,brand_tenant,remaining_term,square_footage,cap_rate,occupancy,noi,investment_type,buildings,net_rentable_sqft,ownership,year_built,stories,class,rent_bumps,loading_docks,dock_high_doors,ceiling_height,year_renovated,broker_co_op,lease_expiration,price_sqft_land_value,lease_term,sale_condition,number_of_tenants,tenant_credit,lease_commencement,parking_spaces,units,price_acre_land_value,lease_options,ground_lease,price_sqft
charlotte NC,"$675,000",Southwest Charlotte Infill Pad,"7612 S Tryon St
Charlotte, NC 28217",Land • 0.799 acres,https://www.crexi.com/properties/1637728/north-carolina-southwest-charlotte-infill-pad,"$675,000","Aug 19, 2024",336 days,Land,"medical, retail",0.799,B-1 SCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,1842 Starita Rd,"1842 Starita Rd
Charlotte, NC 28206",Land • 0.23 acres,https://www.crexi.com/properties/1560136/north-carolina-1842-starita-rd,Unpriced,"Jun 14, 2024",402 days,Land,Commercial,0.23,I-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,250,000",Fox Run Business Park,"17228 Lancaster Hwy
Charlotte, NC 28277","Available for Sale • +/- 3,750 SF Office/Medical Commercial Condo",https://www.crexi.com/properties/1892214/north-carolina-fox-run-business-park,"$1,250,000","Apr 11, 2025",101 days,Office,Medical Office,,,,,,,"3,750",,,,,,,,2005,1,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$200,000",9229 Mount Holly Road,"9229 Mt Holly Rd
Charlotte, NC 28214",Land • 0.28 acres,https://www.crexi.com/properties/1915347/north-carolina-9229-mount-holly-road,"$200,000","Apr 29, 2025",83 days,Land,"Commercial, Residential",0.28,N1-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$3,600,000",918 E. Morehead St,"918 E Morehead St
Charlotte, NC 28204","Generational Real Estate • 6,663 SF",https://www.crexi.com/properties/1879758/north-carolina-918-e-morehead-st,"$3,600,000","Apr 2, 2025",110 days,Retail,Storefront,0.441,NC,,,,,"6,663",,,,,1,,,1939,1,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$6,250,000",I-77 and 7215 Smith Corners BLVD RUG SOURCE,"7215 Smith Corners Blvd
Charlotte, NC 28269","Retail • 36,735 SF I-77 Interstate exposure with Exit 18 next to the development.",https://www.crexi.com/properties/1691033/north-carolina-smith-corners,"$6,250,000","Oct 18, 2024",277 days,"Industrial, Mixed Use, Office, Retail, Special Purpose","Medical Office, Shopping Center, Storefront",3.09,ML-1,NNN,Vacant,,,"36,735",,,,,,,,,,A,Yes,2,2,14 plus,,,,,,,,,,,,,,,
charlotte NC,"$695,000",600 E 35th Street,"600 E 35th St
Charlotte, NC 28205","Available for Sale • +/- 1,462 SF Office in NoDa",https://www.crexi.com/properties/1915950/north-carolina-600-e-35th-street,"$695,000","Apr 30, 2025",83 days,Office,"Creative Office, Traditional Office",0.127,NS,,,,,"1,462",,,,,,,,1930,,,,,,,2021,,,,,,,,,,,,,,
charlotte NC,Unpriced,8345 West W.T.Harris Boulevard,"8345 W W.T.Harris Blvd
Charlotte, NC 28216",Land • 1.735 acres,https://www.crexi.com/properties/1930292/north-carolina-8345-west-wtharris-boulevard,Unpriced,"May 20, 2025",63 days,Land,Commercial,1.735,B2(CD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Steele Creek Commercial Lot,"8612 Steele Creek Rd
Charlotte, NC 28273",Land • 1.134 acres,https://www.crexi.com/properties/1720745/north-carolina-steele-creek-commercial-lot,Unpriced,"May 28, 2025",54 days,Land,Commercial,1.134,CG,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
charlotte NC,Unpriced,600 Blk Crater Street,"600 Crater St
Charlotte, NC 28205",Land,https://www.crexi.com/properties/1338745/north-carolina-600-blk-crater-street,Unpriced,"Dec 7, 2023",593 days,Land,Commercial,.5 - 1.72,B-2/O-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$295,000",Julia Ave Land,"000 Julia Ave
Charlotte, NC 28206",Land • 1.173 acres,https://www.crexi.com/properties/1740267/north-carolina-julia-ave-land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,200,000",Commercial Land for Development in Steele Creek,"13323 S Tryon St
Charlotte, NC 28278",Commercial Land Development Opportunity - Steele Creek,https://www.crexi.com/properties/474535/north-carolina-commercial-land-for-development-in-steele-creek,"$1,200,000","Jul 19, 2023",734 days,Land,Commercial,1.667,Commercial,,,,,,,,,,,,,,,,,,,,,,12/30/2024,$18.56/SqFt,,,,,,,,,,,
charlotte NC,Unpriced,Stable Healthcare Investment,3 LOCATIONS,Retail,https://www.crexi.com/properties/1879906/north-carolina-stable-healthcare-investment,Unpriced,"Apr 3, 2025",110 days,"Retail, Multifamily","Apartment Building, Commercial",.36 - .6,R8 | High-Density Residential; UMO (Urban Mixed Use); N1-A (Neighborhood 1-A),NNN,Single,,20 years,"3,126 - 5,692",,,,,3,,,,,,,,,,,,,,18 years,1031 exchange,,,,,,,,,
charlotte NC,Unpriced,I-485 & Prosperity Church Road,"5300 Prosperity Church Rd
Charlotte, NC 28269",Land • 1.98 acres,https://www.crexi.com/properties/1832412/north-carolina-i-485-prosperity-church-road,Unpriced,"Mar 18, 2025",125 days,"Land, Retail",Commercial,1.98,NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,195,000",2711 Midland Ave,"2711 Midland Ave
Charlotte, NC 28208","Industrial Warehouse in West Charlotte • 8,600 SF",https://www.crexi.com/properties/1954320/north-carolina-2711-midland-ave,"$1,195,000","Jun 4, 2025",47 days,Industrial,"Flex, Warehouse",0.49,CG,,Multi,,,"8,600",,,,,,,,1951,1,C,,12,10,8ft - 14ft,,,,,,,3,,,,,,,,
charlotte NC,Unpriced,Trevi Village Land,"12440 N Tryon St
Charlotte, NC 28262",Commercial Development Opportunity at Trevi Village • 17 Acres,https://www.crexi.com/properties/1157679/north-carolina-12440-north-tryon-st,Unpriced,"Jun 8, 2023",775 days,Land,Commercial,17,CC,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
charlotte NC,"$2,094,000",Wendy's (Dark),"7920 Cambridge Commons Drive
Charlotte, US","Retail • 7.00% CAP • 3,251 SqFt",https://www.crexi.com/properties/1920254/wendys-dark,"$2,094,000","May 6, 2025",77 days,Retail,"QSR/Fast Food, Restaurant",1.02,,Absolute NNN,Single,Wendy's,12.9 years,"3,251",7.00%,100%,"$146,581",Net Lease,,"3,251",Fee Simple (Land & Building Ownership),2003,,,,,,,,,05/31/2038,,20 years,,,Franchisee,05/21/2018,36,,,,,
charlotte NC,"$350,000","1111 Parkwood Avenue, Charlotte, NC 28205","1101, 1105, 1109, 1111 Parkwood Ave
Charlotte, NC 28205",Prime Piece of Charlotte Real Estate,https://www.crexi.com/properties/1501041/north-carolina-1101-1105-11091111-parkwood-avenue-charlotte-nc-28205,"$350,000","Apr 3, 2024",474 days,Mixed Use,mixed use,,NS,,,,,,,,,,,,,1925,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,4300 Business Center Dr,"4300 Business Center Dr
Charlotte, NC 28214",Land • 3.97 Acres for Sale,https://www.crexi.com/properties/1552851/north-carolina-4300-business-center-dr,Unpriced,"Jun 5, 2024",411 days,Land,"Commercial, Industrial",3.97,ML-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$4,673,250","507-515, 519, and 531 Oakdale Road","507-515, 519, and 531 Oakdale Road
Charlotte, NC 28216",Land • 15.02 acres,https://www.crexi.com/properties/1232970/north-carolina-507---519-oakdale-rd,"$4,673,250","Sep 20, 2023",671 days,Land,Residential,15.02,N1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,2224 Coronation Blvd,"2224 Coronation Blvd
Charlotte, NC 28227",Land • 0.78 acres,https://www.crexi.com/properties/1925908/north-carolina-2224-coronation-blvd,Unpriced,"May 12, 2025",70 days,Land,Commercial,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,204 East Peterson Street,"204 E Peterson Dr
Charlotte, NC 28217","Office • 3,590 SF",https://www.crexi.com/properties/1529536/north-carolina-204-east-peterson-street,Unpriced,"May 11, 2024",437 days,"Office, Industrial","Executive Office, Flex",0.645,,,,,,"3,590",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$349,999",9738 Ridge St.,"9738 Ridge St
Charlotte, NC 28214",Land • 1.762 acres,https://www.crexi.com/properties/1525480/north-carolina-9738-ridge-st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Portfolio Sale 435-501,"435 - 501 E. Morehead St.
Charlotte, NC 28202",Portfolio Sale,https://www.crexi.com/properties/1956637/north-carolina-portfolio-sale-435-501,Unpriced,"Jun 6, 2025",46 days,"Office, Retail",Traditional Office,,B1 and UMD,,,,,"4,000 - 8,000",,,,,2,,,1900 and 1961,2,C,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,1435 South Mint Street,"1435 S Mint St
Charlotte, NC 28203",Land • 0.288 acres,https://www.crexi.com/properties/1702255/north-carolina-1435-south-mint-street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,127 W 28th Street,"127 W 28th St
Charlotte, NC 28206","Available for Sale or Lease could work for Retail, Office, Industrial",https://www.crexi.com/properties/1978556/north-carolina-127-w-28th-street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,050,000",0 Allen Black Rd,"0 Allen Black Rd Matthews, NC, 28104
Matthews, NC 28104",Land • 2.64 acres,https://www.crexi.com/properties/1640199/north-carolina-0-allen-black-rd,"$1,050,000","Aug 7, 2024",348 days,Land,Residential,2.64,Residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$999,000",221 E Kingston Avenue,"221 E Kingston Ave
Charlotte, NC 28203","Office • 1,412 SF",https://www.crexi.com/properties/1961148/north-carolina-221-e-kingston-avenue,"$999,000","Jun 12, 2025",40 days,Office,"Creative Office, Executive Office, Traditional Office",0.16,TOD-NC (HDO),,,,,"1,412",,,,,1,"1,412",,1920,1,,,,,,2025,,,,,,,,,,1,,,,
charlotte NC,Unpriced,8910 S Tryon Street,"8910 S Tryon St
Charlotte, NC 28273",Investment Opportunity • Retail Shopping Center • Charlotte NC,https://www.crexi.com/properties/1831221/north-carolina-8910-s-tryon-street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$900,000","1720 Oakdale Road Charlotte, NC","1720 Oakdale Rd
Charlotte, NC 28216",Office/Retail For Sale,https://www.crexi.com/properties/1746433/north-carolina-1720-oakdale-road-charlotte-nc,"$900,000","Jan 13, 2025",189 days,"Office, Retail","Bank, Traditional Office",1.94,Office,,,,,"2,473",,,,Owner/User,1,,,1994,1,,,,,,,,,,,For sale by owner,,,,,,,,,
charlotte NC,"$1,500,000",Kirkley,"2925 Derita Av.
Charlotte, NC 28269",Land • 3.03 acres,https://www.crexi.com/properties/1717864/north-carolina-kirkley,"$1,500,000","Nov 15, 2024",248 days,"Land, Multifamily, Office, Retail, Self Storage",Shopping Center,3.03,B-1,,,,,,,,,,2,,Individual,,,,,,,,,,,,,,,,,,,"$500,000/acre",,,
charlotte NC,"$5,463,000",Circle K,"1250 Lucky Penny St
Charlotte, NC 28208","Retail • 6.15% CAP • 4,181 SF",https://www.crexi.com/properties/1691105/north-carolina-circle-k,"$5,463,000","Oct 18, 2024",277 days,Retail,"Convenience Store, Gas Station",1.27,,Absolute NNN,Single,Circle K,15 years,"4,181",6.15%,100%,"$336,000",Sale/Leaseback,1,"4,181",,2023,,A,10% every 5 years,,,,,Yes,,,15 years,Sale for leaseback,,Franchisee,,16,,,"5, 5 year",No,
charlotte NC,Unpriced,"2800 W Sugar Creek Rd, Outparcel","2800 W Sugar Creek Rd
Charlotte, NC 28262",Prime Outparcel Opportunity at Crossroads Shopping Center,https://www.crexi.com/properties/1582663/north-carolina-2800-w-sugar-creek-rd-outparcel,Unpriced,"Jul 9, 2024",377 days,Land,Commercial,0.7,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,568,000",Family Dollar,"4130 Rozzelles Ferry Rd
Charlotte, NC 28216","Retail • 7.75% CAP • 8,537 SqFt",https://www.crexi.com/properties/1901711/north-carolina-family-dollar,"$1,568,000","Apr 23, 2025",89 days,Retail,"Grocery Store, Storefront",0.95,CG,NN,Single,Family Dollar,4.9 years,"8,537",7.75%,100%,"$121,503",,,,Fee simple interest (land & building ownership),2000,,,10% rental increase,,,,,,06/30/2030,,,,,Corporate Guarantee,,36,,,2 (5-year),,
charlotte NC,"$800,000",4704 Shopton Rd.,"4704 Shopton Rd
Charlotte, NC 28217",Land • 0.7 acres,https://www.crexi.com/properties/1752251/north-carolina-4704-shopton-rd,"$800,000","Jan 21, 2025",181 days,Land,Commercial,0.7,CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$450,000","10965 Winds Crossing Drive, Suite 300, Charlotte, NC 28273","10965 Winds Crossing Dr
Charlotte, NC 28273","Office • 1,427 SF 10965 Winds Crossing Drive Charlotte, NC 28273",https://www.crexi.com/properties/1334455/north-carolina-10965-winds-crossing-drive-suite-300-charlotte-nc-28273,"$450,000","Dec 1, 2023",598 days,Office,"Executive Office, Traditional Office",,,,,,,"1,427",,,,,,,,2006,1,,,,,,,,,,,,,,,,,,,,$315.35
charlotte NC,"$1,950,000",3.61 Acres For Sale,"9100 Mt Holly Rd
Charlotte, NC 28214",Land • 3.61 acres,https://www.crexi.com/properties/1914698/north-carolina-361-acres-for-sale,"$1,950,000","Apr 28, 2025",84 days,Land,"Commercial, Residential",3.61,N1-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$3,523,361","CVS/Pharmacy Charlotte, NC","1801 Milton Rd
Charlotte, NC 28215",Dominant CVS Store,https://www.crexi.com/properties/827387/north-carolina-cvspharmacy-nn-asset-charlotte-nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,200,000","1.22 +/- AC, Signalized Corner","6797 N Tryon St
Charlotte, NC 28213",Signalized Corner • 1.22 acres,https://www.crexi.com/properties/1819999/north-carolina-122---ac-signalized-corner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Plaza Midwood Retail,"1212 Pecan Avenue & 1801 Commonwealth Ave
Charlotte, NC 28205","Retail • 15,000 SF",https://www.crexi.com/properties/232668/north-carolina-1212-pecan-avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,350,000",Metrolina Park,"5326 Gibbon Rd
Charlotte, NC 28269",Land • 2.49 acres,https://www.crexi.com/properties/1804831/north-carolina-metrolina-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,S. Summit Avenue - Office Site Infill Land Sale,"S Summit Ave
Charlotte, NC 28208",office site land near uptown Charlotte in an opportunity zone,https://www.crexi.com/properties/1293116/north-carolina-s-summit-avenue---infill-land-sale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,250,000",2625-2629 Tuckaseegee Rd,"2625-2629 Tuckaseegee Rd
Charlotte, NC 28208","Retail • +/- 0.448 AC with +/- 7,734 SF",https://www.crexi.com/properties/881728/north-carolina-2625-2929-tuckaseegee-rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,000,000",10412 Harrisburg Rd,"10412 Harrisburg Rd
Charlotte, NC 28215",Land • +/- 10.01 AC For Sale,https://www.crexi.com/properties/1924572/north-carolina-10412-harrisburg-rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$795,000","Commercial Lot on Hwy 29 in Charlotte, NC","10800 N Tryon St
Charlotte, NC 28262","Commercial Lot with great visibility for Sale on Hwy 29 in Charlotte, NC 28262",https://www.crexi.com/properties/1818036/north-carolina-commercial-lot-for-sale-on-hwy-29-in-charlotte-nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,Diverse Net Lease Portfolio with National Tenants,18 LOCATIONS,Various Locations Nationwide • Must Be Purchased as a Portfolio,https://www.crexi.com/properties/1897053/north-carolina-diverse-net-lease-portfolio-with-national-tenants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$1,650,000",6709 N Tryon St,"6709 N Tryon St
Charlotte, NC 28213",FORMER BANK BRANCH FOR SALE • PRIME RETAIL LOCATION IN CHARLOTTE,https://www.crexi.com/properties/1337405/north-carolina-former-bank-branch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,"$530,000",Mint Hill Outparcel,"Blair Road (Hwy 51) at Fairview Road (Hwy 218)
Charlotte, NC 28227",Land • 0.842 acres,https://www.crexi.com/properties/372327/north-carolina-mint-hill-outparcel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,E. Cama Street and E. Peterson Drive Charlotte,"E. Cama Street and E. Peterson Drive Charlotte
Charlotte, NC 28217",Land • 1.677 acres,https://www.crexi.com/properties/1202780/north-carolina-e-cama-street-and-e-peterson-drive-charlotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charlotte NC,Unpriced,3206 South Tryon St,"3206 S Tryon St
Charlotte, NC 28217",Development site is LOSO area Corner Lot Charlotte NC,https://www.crexi.com/properties/1928681/north-carolina-3206-south-tryon-st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
